Dataset,Model,Axis,Raw Gap,Matched Gap,Prev A/B,p,Sig
NIH,BioMedCLIP,sex,0.0001,0.0035,0.31/0.32,0.7219,ns (post-FDR)
NIH,BioMedCLIP,age,0.0385,0.0684,0.25/0.37,0.0066,FDR-SIG
NIH,CLIP ViT-B/16,sex,0.0055,0.0094,0.31/0.32,0.2053,ns (post-FDR)
NIH,CLIP ViT-B/16,age,0.0665,0.0509,0.25/0.37,0.0066,FDR-SIG
NIH,CLIP ViT-B/32,sex,0.0020,0.0019,0.31/0.32,0.8278,ns (post-FDR)
NIH,CLIP ViT-B/32,age,0.0510,0.0649,0.25/0.37,0.0066,FDR-SIG
NIH,DINOv2-S/14,sex,0.0029,0.0066,0.31/0.32,0.3775,ns (post-FDR)
NIH,DINOv2-S/14,age,0.0297,0.0836,0.25/0.37,0.0066,FDR-SIG
NIH,ResNet-50,sex,0.0101,0.0136,0.31/0.32,0.0464,ns (post-FDR)
NIH,ResNet-50,age,0.0037,0.1063,0.25/0.37,0.0066,FDR-SIG
CheXpert,BioMedCLIP,sex,0.0193,0.0147,0.84/0.85,0.0265,FDR-SIG
CheXpert,BioMedCLIP,age,0.0078,0.1047,0.77/0.92,0.0066,FDR-SIG
CheXpert,CLIP ViT-B/16,sex,0.0161,0.0100,0.84/0.85,0.1258,ns (post-FDR)
CheXpert,CLIP ViT-B/16,age,0.0283,0.1064,0.77/0.92,0.0066,FDR-SIG
CheXpert,CLIP ViT-B/32,sex,0.0336,0.0275,0.84/0.85,0.0066,FDR-SIG
CheXpert,CLIP ViT-B/32,age,0.0215,0.1139,0.77/0.92,0.0066,FDR-SIG
CheXpert,DINOv2-S/14,sex,0.0018,0.0030,0.84/0.85,0.6689,ns (post-FDR)
CheXpert,DINOv2-S/14,age,0.0349,0.1562,0.77/0.92,0.0066,FDR-SIG
CheXpert,ResNet-50,sex,0.0010,0.0060,0.84/0.85,0.3576,ns (post-FDR)
CheXpert,ResNet-50,age,0.0485,0.1705,0.77/0.92,0.0066,FDR-SIG
