Model,Quantile,Age range,n,ECE,Gap vs. lowest
BioMedCLIP,0,1-34,3965,0.1827,+0.0000
BioMedCLIP,1,34-47,3610,0.1711,-0.0116
BioMedCLIP,2,47-58,3841,0.1469,-0.0358
BioMedCLIP,3,58-95,3584,0.1269,-0.0558
CLIP ViT-B/16,0,1-34,3965,0.2154,+0.0000
CLIP ViT-B/16,1,34-47,3610,0.1987,-0.0167
CLIP ViT-B/16,2,47-58,3841,0.1611,-0.0543
CLIP ViT-B/16,3,58-95,3584,0.1166,-0.0987
CLIP ViT-B/32,0,1-34,3965,0.2021,+0.0000
CLIP ViT-B/32,1,34-47,3610,0.1926,-0.0096
CLIP ViT-B/32,2,47-58,3841,0.1627,-0.0394
CLIP ViT-B/32,3,58-95,3584,0.1267,-0.0754
DINOv2-S/14,0,1-34,3965,0.1868,+0.0000
DINOv2-S/14,1,34-47,3610,0.1745,-0.0123
DINOv2-S/14,2,47-58,3841,0.1571,-0.0298
DINOv2-S/14,3,58-95,3584,0.1443,-0.0425
ResNet-50,0,1-34,3965,0.1603,+0.0000
ResNet-50,1,34-47,3610,0.1618,+0.0015
ResNet-50,2,47-58,3841,0.1573,-0.0030
ResNet-50,3,58-95,3584,0.1574,-0.0029
